Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar
AT5G43250,p03-r02-c01,CCAAT,NF-YC13,Nucleus,Chromosome
AT5G14960,p03-r02-c02,E2F-DP,E2L1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G03720,p03-r02-c03,HSF,HSFA3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G51790,p03-r02-c04,bHLH,AT5G51790,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G09330,p03-r02-c05,NAC,NAC082,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G60440,p03-r02-c06,MADS,AGL62,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G15150,p03-r02-c07,HB,ATHB3,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT2G17770,p03-r02-c08,bZIP,FDP,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G01030,p03-r02-c09,ABI3-VP1,NGA3,Nucleus,Chromosome
AT2G35430,p03-r02-c10,C3H,AT2G35430,Nucleus,Chromosome
AT1G02065,p03-r02-c11,SBP,SPL8,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G13780,p03-r02-c12,GNAT,NAA10,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G05690,p03-r02-c13,TRAF,BT3,Cytoplasm,"Cytoplasm, cytoskeleton"
AT5G16800,p03-r02-c14,GNAT,AT5G16800,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G68510,p03-r02-c15,LOB,LBD42,Mitochondrion,Mitochondrion inner membrane
AT1G62085,p03-r02-c16,mTERF,AT1G62085,Mitochondrion,Mitochondrion inner membrane; Mitochondrion matrix
AT2G24700,p03-r02-c17,ABI3-VP1,AT2G24700,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G62110,p03-r02-c18,mTERF,AT1G62110,Mitochondrion,Mitochondrion inner membrane; Mitochondrion matrix
AT2G36400,p03-r02-c19,GRF,AtGRF3,Nucleus,Nucleus speckle; Chromosome
AT1G79580,p03-r02-c20,NAC,ANAC033,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G04380,p03-r02-c21,SET,SDG31,Nucleus,Chromosome
AT1G06920,p03-r02-c22,OFP,ATOFP4,NucleusMitochondrion,Chromosome; Mitochondrion matrix
AT3G07220,p03-r02-c23,FHA,AtFHA2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G52525,p03-r02-c24,OFP,ATOFP6,Mitochondrion,Mitochondrion inner membrane
AT1G74950,p03-r03-c01,ZIM,TIFY10B,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G09290,p03-r03-c02,C2H2,TAC1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G26945,p03-r03-c03,ND,PRE6,Nucleus,Chromosome
AT3G49930,p03-r03-c04,C2H2,AT3G49930,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G51200,p03-r03-c05,zf-AN1,AT1G51200,Cytoplasm,"Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
AT1G64000,p03-r03-c06,WRKY,WRKY56,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G60240,p03-r03-c07,ND,AT1G60240,Nucleus,"Nucleus, nucleolus"
AT1G66550,p03-r03-c08,WRKY,ATWRKY67,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G32540,p03-r03-c09,zf-LSD1,LOL1,Nucleus,Chromosome
AT3G58710,p03-r03-c10,WRKY,WRKY69,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G14700,p03-r03-c11,SART-1,AT3G14700,Nucleus,"Nucleus, nucleolus"
AT4G23810,p03-r03-c12,WRKY,ATWRKY53,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G28857,p03-r03-c13,HLH,PRE5,Nucleus,Chromosome
AT5G01900,p03-r03-c14,WRKY,WRKY62,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G46580,p03-r03-c15,MBD,MBD5,Nucleus,Chromosome
AT2G22770,p03-r03-c16,bHLH,NAI1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT4G19630,p03-r03-c17,ND,AT4G19630,Nucleus,Chromosome
AT1G14685,p03-r03-c18,BBR-BPC,ATBPC2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G20380,p03-r03-c19,zf-LSD1,LSD1,Mitochondrion,Mitochondrion inner membrane
AT1G29950,p03-r03-c20,ND,AT1G29950,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G22745,p03-r03-c21,MBD,MBD1,Nucleus,Chromosome
AT3G22100,p03-r03-c22,bHLH,AT3G22100,Nucleus,Chromosome
AT4G22820,p03-r03-c23,zf-AN1,AT4G22820,Cytoplasm,"Cytoplasm, cytoskeleton"
AT4G29100,p03-r03-c24,ND,AT4G29100,Nucleus,Nucleus speckle; Chromosome
AT3G09735,p03-r04-c01,S1Fa-like,AT3G09735,Endoplasmic,Endoplasmic reticulum membrane
AT2G32550,p03-r04-c02,RCD1-like,AT2G32550,Nucleus,"Nucleus, nucleolus"
AT3G50870,p03-r04-c03,C2C2-GATA,GATA18,Nucleus,Nucleus speckle; Chromosome
AT3G11090,p03-r04-c04,LOB,LBD21,Nucleus,Chromosome
AT3G51470,p03-r04-c05,DBP,AT3G51470,Cytoplasm,"Cytoplasm, cytosol"
AT3G11260,p03-r04-c06,HB,WOX5B,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G59470,p03-r04-c07,FAR1,FRF1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G01940,p03-r04-c08,C2H2,SGR5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G54610,p03-r04-c09,GNAT,HAG01,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G01860,p03-r04-c10,C2H2,AT5G01860,Nucleus,Chromosome
AT4G19985,p03-r04-c11,GNAT,AT4G19985,Mitochondrion,Mitochondrion inner membrane
AT5G14010,p03-r04-c12,C2H2,KNU,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G18870,p03-r04-c13,mTERF,AT3G18870,Plastid,"Plastid, chloroplast stroma"
AT3G58190,p03-r04-c14,LOB,LBD29,Nucleus,Chromosome
AT2G03050,p03-r04-c15,mTERF,EMB93,Mitochondrion,Mitochondrion inner membrane
AT5G67420,p03-r04-c16,LOB,ASL39,Nucleus,Chromosome
AT5G23930,p03-r04-c17,mTERF,AT5G23930,Mitochondrion,Mitochondrion inner membrane
AT1G04880,p03-r04-c18,ARID,AT1G04880,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G07900,p03-r04-c19,mTERF,AT5G07900,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT1G27660,p03-r04-c20,ND,AT1G27660,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G08790,p03-r04-c21,NAC,ATAF2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G31730,p03-r04-c22,ND,AT2G31730,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G18500,p03-r04-c23,OFP,OFP7,Mitochondrion,Mitochondrion inner membrane
AT2G40200,p03-r04-c24,bHLH,AT2G40200,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G00416,p03-r05-c01,ND,MBD3,Nucleus,Chromosome
AT1G03350,p03-r05-c02,BSD,AT1G03350,Nucleus,Chromosome
AT4G12040,p03-r05-c03,zf-AN1,AtSAP7,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G10720,p03-r05-c04,BSD,AT1G10720,Nucleus,Chromosome
AT5G18037,p03-r05-c05,ND,AT5G18037,Nucleus,Chromosome
AT2G23320,p03-r05-c06,WRKY,AtWRKY15,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G27810,p03-r05-c07,ND,AT5G27810,Mitochondrion,Mitochondrion inner membrane
AT3G58680,p03-r05-c08,MBF1,MBF1B,Nucleus,"Nucleus, nucleolus"
AT5G27944,p03-r05-c09,MADS,AT5G27944,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G47900,p03-r05-c10,TUB,AtTLP3,Mitochondrion,Mitochondrion inner membrane
AT5G59800,p03-r05-c11,ND,MBD7,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G18090,p03-r05-c12,ABI3-VP1,AT5G18090,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G44745,p03-r05-c13,WRKY,WRKY12,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G64620,p03-r05-c14,C2C2-DOF,DOF1.8,Nucleus,Chromosome
AT5G52830,p03-r05-c15,WRKY,WRKY27,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G12240,p03-r05-c16,C2H2,AT4G12240,Mitochondrion,Mitochondrion inner membrane; Mitochondrion matrix
AT4G04450,p03-r05-c17,WRKY,AtWRKY42,Nucleus,Chromosome
AT1G75080,p03-r05-c18,BES1,BZR1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G37260,p03-r05-c19,WRKY,TTG2,Nucleus,"Nucleus, nucleolus; Nucleus membrane; Nucleus speckle; Chromosome"
AT1G53910,p03-r05-c20,AP2-EREBP,RAP2.12,Membrane,Cell membrane
AT1G21970,p03-r05-c21,CCAAT,EMB 212,Nucleus,Chromosome
AT1G15720,p03-r05-c22,MYB-related,TRFL5,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G48150,p03-r05-c23,MADS,AT1G48150,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G79430,p03-r05-c24,G2-like,WDY,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G20800,p03-r06-c01,RCD1-like,AT3G20800,Nucleus,Chromosome
AT4G00870,p03-r06-c02,bHLH,AT4G00870,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G80400,p03-r06-c03,ND,AT1G80400,Golgi_apparatus,Golgi apparatus membrane
AT1G30970,p03-r06-c04,C2H2,SUF4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G22360,p03-r06-c05,SWI/SNF-BAF60b,AT4G22360,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G49520,p03-r06-c06,WRKY,ATWRKY48,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G34290,p03-r06-c07,SWI/SNF-BAF60b,AT4G34290,Mitochondrion,Mitochondrion inner membrane
AT3G02380,p03-r06-c08,C2C2-CO-like,BBX3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G01890,p03-r06-c09,SWI/SNF-BAF60b,SWP73A,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G57180,p03-r06-c10,Orphans/,CIA2,Nucleus,"Nucleus, nucleolus"
AT2G40450,p03-r06-c11,TRAF,AT2G40450,Cytoplasm,"Cytoplasm, cytoskeleton"
AT3G24860,p03-r06-c12,TRIHELIX,AT3G24860,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G01640,p03-r06-c13,TRAF,AT1G01640,Cytoplasm,"Cytoplasm, cytoskeleton"
AT3G24120,p03-r06-c14,G2-like,PHL2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G08455,p03-r06-c15,TRAF,AT4G08455,Nucleus,Chromosome
AT5G24930,p03-r06-c16,C2C2-CO-like,COL4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G61600,p03-r06-c17,TRAF,POB1,Cytoplasm,"Cytoplasm, cytoskeleton"
AT4G39410,p03-r06-c18,WRKY,ATWRKY13,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G22310,p03-r06-c19,ND,ATMBD8,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G07100,p03-r06-c20,WRKY,WRKY26,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G24250,p03-r06-c21,Orphans,AT1G24250,Nucleus,Chromosome
AT5G51860,p03-r06-c22,MADS,AGL72,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G27580,p03-r06-c23,zf-AN1,AT2G27580,Cytoplasm,"Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
AT1G70510,p03-r06-c24,HB,KNAT2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G65300,p03-r07-c01,MADS,PHE2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G60580,p03-r07-c02,C2H2,AT3G60580,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G14210,p03-r07-c03,MADS,ANR1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G25475,p03-r07-c04,ABI3-VP1,AT5G25475,Mitochondrion,Mitochondrion matrix
AT1G28450,p03-r07-c05,MADS,AGL58,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G78600,p03-r07-c06,Orphans,LZF1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G48670,p03-r07-c07,MADS,FEM111,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G24570,p03-r07-c08,WRKY,ATWRKY17,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G22590,p03-r07-c09,MADS,AGL87,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G38170,p03-r07-c10,ND,FRS9,Nucleus,Chromosome
AT3G45170,p03-r07-c11,C2C2-GATA,GATA14,Nucleus,Chromosome
AT2G46680,p03-r07-c12,HB,HB-7,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G24470,p03-r07-c13,C2C2-GATA,GATA25,Nucleus,Chromosome
AT1G18400,p03-r07-c14,bHLH,BEE1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G18380,p03-r07-c15,C2C2-GATA,GATA20,Nucleus,Chromosome
AT3G21270,p03-r07-c16,C2C2-DOF,DOF2,Nucleus,Chromosome
AT1G80730,p03-r07-c17,C2H2,ATZFP1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G60120,p03-r07-c18,AP2-EREBP,TOE2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G23130,p03-r07-c19,C2H2,SUP,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G15210,p03-r07-c20,AP2-EREBP,RAP2.5,Nucleus,Chromosome
AT1G02030,p03-r07-c21,C2H2,AT1G02030,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT1G54060,p03-r07-c22,TRIHELIX,ASIL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G25490,p03-r07-c23,AP2-EREBP,CBF1,Nucleus,Chromosome
AT1G77450,p03-r07-c24,NAC,ANAC032,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G15790,p03-r08-c01,ND,ATMBD11,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G74650,p03-r08-c02,MYB,ATY13,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G21610,p03-r08-c03,zf-LSD1,LOL2,Nucleus,Chromosome
AT2G43220,p03-r08-c04,ND,AT2G43220,Nucleus,Chromosome
AT4G25380,p03-r08-c05,zf-AN1,AtSAP10,Cytoplasm,"Cytoplasm, cytoskeleton"
AT2G02820,p03-r08-c06,MYB,MYB88,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G19580,p03-r08-c07,C2H2,AZF2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G10120,p03-r08-c08,EIL,AT5G10120,Nucleus,Chromosome
AT5G60100,p03-r08-c09,Pseudo,PRR3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G37590,p03-r08-c10,C2C2-DOF,ATDOF2.4,Nucleus,Chromosome
AT1G06170,p03-r08-c11,bHLH,bHLH089,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G37540,p03-r08-c12,LOB,LBD39,Nucleus,Chromosome
AT2G32905,p03-r08-c13,REM(B3),AT2G32905,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G19270,p03-r08-c14,Orphans,DA1,Cytoplasm,"Cytoplasm, cytoskeleton"
AT3G05760,p03-r08-c15,C2H2,AT3G05760,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G56160,p03-r08-c16,MYB,ATMYB72,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G61850,p03-r08-c17,C2C2-DOF,DAG1,Nucleus,Chromosome
AT1G01160,p03-r08-c18,GIF,GIF2,Nucleus,Chromosome
AT1G55760,p03-r08-c19,TRAF,AT1G55760,Nucleus,Chromosome
AT4G27310,p03-r08-c20,Orphans,BBX28,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G22800,p03-r08-c21,HB,HAT9,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G25440,p03-r08-c22,C2C2-CO-like,BBX15,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G01550,p03-r08-c23,NAC,NTM2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G24590,p03-r08-c24,ND,RSZ22a,Nucleus,"Nucleus, nucleoplasm; Nucleus speckle"
AT1G03970,p03-r09-c01,bZIP,GBF4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G22200,p03-r09-c02,AP2-EREBP,AT2G22200,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G02150,p03-r09-c03,TCP,TFPD,Nucleus,Chromosome
AT3G04730,p03-r09-c04,AUX-IAA,IAA16,Nucleus,Chromosome
AT5G42820,p03-r09-c05,C3H,ATU2AF35B,Nucleus,Nucleus speckle
AT1G73870,p03-r09-c06,C2C2-CO-like,COL7,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G17380,p03-r09-c07,ZIM,TIFY11A,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G06550,p03-r09-c08,JUMONJI,JMJ22,Nucleus,"Nucleus, nucleolus"
AT3G21175,p03-r09-c09,C2C2-GATA,TIFY2B,Nucleus,Chromosome
AT5G39660,p03-r09-c10,C2C2-DOF,CDF2,Nucleus,Chromosome
AT4G36730,p03-r09-c11,bZIP,AtGBF1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G77640,p03-r09-c12,AP2-EREBP,AT1G77640,Nucleus,Chromosome
AT1G24610,p03-r09-c13,SET,AT1G24610,Nucleus,Chromosome
AT1G34190,p03-r09-c14,NAC,ANAC017,Endoplasmic,Endoplasmic reticulum membrane
AT5G60910,p03-r09-c15,MADS,FUL,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G26580,p03-r09-c16,C2C2-YABBY,YAB5,Nucleus,Chromosome
AT5G61430,p03-r09-c17,NAC,NAC100,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G33880,p03-r09-c18,bHLH,RSL2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G19520,p03-r09-c19,ND,ACG1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G04100,p03-r09-c20,AUX-IAA,IAA10,Nucleus,Chromosome
AT4G23860,p03-r09-c21,PHD,AT4G23860,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G41370,p03-r09-c22,TRAF,BOP2,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G70700,p03-r09-c23,ZIM,JAZ9,Nucleus,Chromosome
AT5G05790,p03-r09-c24,MYB,AT5G05790,Nucleus,Chromosome
AT1G02220,p03-r10-c01,NAC,NAC003,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G14260,p03-r10-c02,SET,AT5G14260,Plastid,"Plastid, chloroplast membrane; Plastid, chloroplast stroma; Plastid, chloroplast thylakoid lumen; Plastid, chloroplast thylakoid membrane"
AT1G33280,p03-r10-c03,NAC,ANAC015,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G31550,p03-r10-c04,WRKY,ATWRKY11,Nucleus,Chromosome
AT1G63910,p03-r10-c05,MYB,AtMYB103,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G76110,p03-r10-c06,ARID,AT1G76110,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G39880,p03-r10-c07,MYB,AtMYB25,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G18550,p03-r10-c08,C3H,AT5G18550,Nucleus,Nucleus speckle; Chromosome
AT4G22680,p03-r10-c09,MYB,MYB85,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G22890,p03-r10-c10,C2H2,STOP2,Nucleus,Nucleus speckle; Chromosome
AT4G37780,p03-r10-c11,MYB,ATMYB87,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G13330,p03-r10-c12,AP2-EREBP,Rap2.6L,Nucleus,Chromosome
AT1G66370,p03-r10-c13,MYB,MYB113,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G51910,p03-r10-c14,HSF,AT-HSFA7A,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G42660,p03-r10-c15,G2-like,AT2G42660,Nucleus,Chromosome
AT1G66350,p03-r10-c16,GRAS,RGL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G24310,p03-r10-c17,MYB,MYB305,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G17570,p03-r10-c18,C2C2-GATA,GATA26,Mitochondrion,Mitochondrion inner membrane; Mitochondrion matrix
AT5G62470,p03-r10-c19,MYB,MYB96,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G51700,p03-r10-c20,C2C2-DOF,DOF1,Nucleus,Chromosome
AT1G75710,p03-r10-c21,C2H2,AT1G75710,Nucleus,Chromosome
AT5G48150,p03-r10-c22,GRAS,PAT1,Cytoplasm,"Cytoplasm, cytoskeleton"
AT5G03150,p03-r10-c23,C2H2,JKD,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G28160,p03-r10-c24,bHLH,BHLH029,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G64860,p03-r11-c01,SIGMA70-like,SIG1,Plastid,"Plastid, chloroplast stroma; Plastid, chloroplast thylakoid membrane"
AT1G30135,p03-r11-c02,ZIM,JAZ8,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G01120,p03-r11-c03,bZIP,GBF2,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G48040,p03-r11-c04,DBP,AT1G48040,Cytoplasm,"Cytoplasm, cytosol"
AT4G36860,p03-r11-c05,LIM,DAR1,Nucleus,Chromosome
AT2G38090,p03-r11-c06,MYB,AT2G38090,Nucleus,Chromosome
AT1G07360,p03-r11-c07,C3H,MAC5A,Nucleus,Chromosome
AT3G42860,p03-r11-c08,zf-GRF,AT3G42860,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G48100,p03-r11-c09,Orphans,ARR5,Nucleus,Chromosome
AT2G18850,p03-r11-c10,SET,AT2G18850,Cytoplasm,"Cytoplasm, cytoskeleton"
AT3G46590,p03-r11-c11,MYB-related,TRP2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G21910,p03-r11-c12,AP2-EREBP,DREB26,Nucleus,Chromosome
AT2G45650,p03-r11-c13,MADS,AGL6,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G71930,p03-r11-c14,NAC,ANAC030,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G27580,p03-r11-c15,MADS,AGL89,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G40340,p03-r11-c16,AP2-EREBP,DREB2C,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G59990,p03-r11-c17,Orphans/,AT5G59990,Nucleus,Chromosome
AT1G68130,p03-r11-c18,C2H2,IDD14alpha,Nucleus,"Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G63170,p03-r11-c19,ND,AT1G63170,Endoplasmic,Endoplasmic reticulum membrane
AT5G41920,p03-r11-c20,GRAS,AtSCL23,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G46160,p03-r11-c21,ND,AT2G46160,Membrane,Cell membrane
AT5G47220,p03-r11-c22,AP2-EREBP,ATERF-2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G32600,p03-r11-c23,C2H2,AT2G32600,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G42520,p03-r11-c24,BBR-BPC,BBR/BPC6,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G46830,p03-r12-c01,bHLH,MYC5,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G22070,p03-r12-c02,bZIP,TGA3,Nucleus,"Nucleus, nucleolus"
AT1G02340,p03-r12-c03,bHLH,RSF1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G26805,p03-r12-c04,REM(B3),AT5G26805,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G06160,p03-r12-c05,AP2-EREBP,ORA59,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G13540,p03-r12-c06,MYB,ATMYB5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G23230,p03-r12-c07,AP2-EREBP,AtTDR1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G54160,p03-r12-c08,CCAAT,NFYA5,Nucleus,Chromosome
AT5G61890,p03-r12-c09,AP2-EREBP,AT5G61890,Nucleus,Chromosome
AT4G37740,p03-r12-c10,GRF,AtGRF2,Nucleus,"Nucleus, nucleolus; Nucleus membrane; Nucleus speckle; Chromosome"
AT5G63260,p03-r12-c11,C3H,AT5G63260,Nucleus,Chromosome
AT5G66980,p03-r12-c12,ABI3-VP1,AT5G66980,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT4G26030,p03-r12-c13,C2H2,AT4G26030,Mitochondrion,Mitochondrion inner membrane
AT4G25210,p03-r12-c14,GeBP,AT4G25210,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G03500,p03-r12-c15,G2-like,EFM,Nucleus,Nucleus speckle; Chromosome
AT3G20550,p03-r12-c16,FHA,DDL,Nucleus,"Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G15050,p03-r12-c17,AUX-IAA,IAA34,Cytoplasm,"Cytoplasm, cytoskeleton"
AT2G04845,p03-r12-c18,GNAT,AT2G04845,Mitochondrion,Mitochondrion inner membrane
AT5G62020,p03-r12-c19,HSF,HSFB2A,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G67180,p03-r12-c20,AP2-EREBP,TOE3,Nucleus,Chromosome
AT1G19040,p03-r12-c21,NAC,AT1G19040,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G04250,p03-r12-c22,AUX-IAA,AtIAA17,Nucleus,Chromosome
AT2G42280,p03-r12-c23,bHLH,FBH4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G49330,p03-r12-c24,MYB,PFG3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G18010,p03-r13-c01,HB,WOX1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G79700,p03-r13-c02,AP2-EREBP,WRI4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G66380,p03-r13-c03,MYB,AtMYB114,Nucleus,"Nucleus, nucleolus; Chromosome"
